,BL1,BL2,r1-r2,NO1,NO2,NO3
0,0.7552087201092559,2.4959842047537606,-1.7407754846445047,1.97499945,1.00002822,0.02497233
1,0.7551912677028186,2.494984357058604,-1.7397930893557856,1.97500109,1.00002831,0.02497059
2,0.7552087201092559,2.493984509363448,-1.7387757892541922,1.97500000,1.00002841,0.02497159
3,0.7552087201092559,2.492984509363448,-1.7377757892541923,1.97500027,1.00002851,0.02497122
4,0.7552261725156931,2.4919846616682912,-1.736758489152598,1.97499918,1.00002861,0.02497221
5,0.7552261725156931,2.490984661668292,-1.7357584891525986,1.97499946,1.00002871,0.02497183
6,0.7552261725156931,2.4899846616682915,-1.7347584891525982,1.97499973,1.00002881,0.02497146
7,0.7552087201092559,2.488984813973135,-1.733776093863879,1.97500138,1.00002890,0.02496972
8,0.7552087201092559,2.487984813973135,-1.7327760938638792,1.97500165,1.00002900,0.02496934
9,0.7552087201092559,2.486984813973135,-1.7317760938638793,1.97500193,1.00002910,0.02496897
10,0.7552087201092559,2.485984813973136,-1.7307760938638803,1.97500221,1.00002920,0.02496859
11,0.7552087201092559,2.4849848139731354,-1.7297760938638795,1.97500249,1.00002930,0.02496821
12,0.7552261725156931,2.483984966277979,-1.7287587937622857,1.97500141,1.00002940,0.02496919
13,0.7552261725156931,2.482984966277979,-1.7277587937622858,1.97500169,1.00002950,0.02496881
14,0.7552261725156931,2.481984966277979,-1.726758793762286,1.97500197,1.00002960,0.02496843
15,0.7552261725156931,2.48098496627798,-1.725758793762287,1.97499868,1.00002969,0.02497163
16,0.7552261725156931,2.47998496627798,-1.7247587937622866,1.97499895,1.00002979,0.02497125
17,0.7552261725156931,2.4789849662779795,-1.7237587937622862,1.97499923,1.00002989,0.02497087
18,0.7552261725156931,2.47798496627798,-1.7227587937622868,1.97499951,1.00003000,0.02497049
19,0.7552261725156931,2.47698496627798,-1.721758793762287,1.97499979,1.00003010,0.02497011
20,0.7552261725156931,2.47598496627798,-1.7207587937622866,1.97500007,1.00003020,0.02496973
21,0.7552261725156931,2.47498496627798,-1.7197587937622867,1.97500035,1.00003030,0.02496935
22,0.7552261725156931,2.47398496627798,-1.7187587937622868,1.97500063,1.00003041,0.02496896
23,0.7552261725156931,2.47298496627798,-1.717758793762287,1.97500091,1.00003051,0.02496858
24,0.7552261725156931,2.4719849662779803,-1.716758793762287,1.97500120,1.00003061,0.02496819
25,0.7552261725156931,2.4709849662779804,-1.7157587937622871,1.97500148,1.00003072,0.02496780
26,0.7552261725156931,2.4699849662779805,-1.7147587937622872,1.97500176,1.00003082,0.02496742
27,0.7552261725156931,2.4689849662779806,-1.7137587937622873,1.97500205,1.00003092,0.02496703
28,0.7552436249221304,2.467985118582824,-1.7127414936606937,1.97500097,1.00003103,0.02496799
29,0.7552436249221304,2.466985118582824,-1.7117414936606938,1.97500126,1.00003114,0.02496760
30,0.7552436249221304,2.4659851185828243,-1.710741493660694,1.97500155,1.00003124,0.02496721
31,0.7552436249221304,2.4649851185828244,-1.709741493660694,1.97500184,1.00003135,0.02496681
32,0.7552436249221304,2.4639851185828245,-1.7087414936606942,1.97500213,1.00003146,0.02496642
33,0.7552436249221304,2.4629851185828247,-1.7077414936606943,1.97500242,1.00003156,0.02496602
34,0.7552436249221304,2.4619851185828248,-1.7067414936606944,1.97500271,1.00003167,0.02496562
35,0.7552436249221304,2.460985118582825,-1.7057414936606945,1.97500300,1.00003178,0.02496522
36,0.7552436249221304,2.459985118582825,-1.7047414936606946,1.97500329,1.00003188,0.02496482
37,0.7552436249221304,2.458985118582825,-1.7037414936606947,1.97500359,1.00003199,0.02496442
38,0.7552436249221304,2.457985118582825,-1.7027414936606948,1.97500388,1.00003210,0.02496402
39,0.7552436249221304,2.4569851185828253,-1.701741493660695,1.97500417,1.00003221,0.02496362
40,0.7552436249221304,2.4559851185828254,-1.700741493660695,1.97500447,1.00003232,0.02496321
41,0.7552436249221304,2.454985118582825,-1.6997414936606947,1.97500477,1.00003243,0.02496281
42,0.7552436249221304,2.4539851185828256,-1.6987414936606953,1.97500507,1.00003254,0.02496240
43,0.7552436249221304,2.4529851185828258,-1.6977414936606954,1.97500536,1.00003265,0.02496199
44,0.7552436249221304,2.451985118582826,-1.6967414936606955,1.97500566,1.00003276,0.02496158
45,0.7552436249221304,2.450985118582826,-1.6957414936606956,1.97500596,1.00003287,0.02496117
46,0.7552436249221304,2.449985118582826,-1.6947414936606957,1.97500626,1.00003298,0.02496076
47,0.7552436249221304,2.448985118582826,-1.6937414936606958,1.97500657,1.00003309,0.02496034
48,0.7552436249221304,2.4479851185828263,-1.692741493660696,1.97500687,1.00003320,0.02495993
49,0.7552436249221304,2.4469851185828264,-1.691741493660696,1.97500717,1.00003331,0.02495951
50,0.7552436249221304,2.4459851185828265,-1.6907414936606961,1.97500748,1.00003343,0.02495910
51,0.7552436249221304,2.444985118582826,-1.6897414936606958,1.97500778,1.00003354,0.02495868
52,0.7552436249221304,2.4439851185828267,-1.6887414936606964,1.97500809,1.00003365,0.02495826
53,0.7552436249221304,2.442985118582827,-1.6877414936606965,1.97500839,1.00003377,0.02495784
54,0.7552436249221304,2.441985118582827,-1.6867414936606966,1.97500870,1.00003388,0.02495742
55,0.7552436249221304,2.440985118582827,-1.6857414936606967,1.97500901,1.00003399,0.02495700
56,0.7552436249221304,2.439985118582827,-1.6847414936606968,1.97500932,1.00003411,0.02495657
57,0.7552436249221304,2.438985118582828,-1.6837414936606978,1.97500963,1.00003422,0.02495615
58,0.7552436249221304,2.4379851185828274,-1.682741493660697,1.97500994,1.00003434,0.02495572
