,x,y,frozen,pol,ct,total,frag_0_E,frag_1_E,elec,pauli,disp,clas_elec,clas_pauli,clas_disp
30,0.9059637672180106,0.9483329139672466,239.0375,-57.5190,-180.1429,1.3756,-1.1480877397,-0.4943296832,37.3908,215.0880,-13.4413,-17.2886,269.7674,-13.4413
31,0.905320979608324,0.9490989584103656,238.5252,-57.3165,-179.6073,1.6013,-1.1481753107,-0.4943296832,37.1469,214.7995,-13.4212,-17.3820,269.3284,-13.4212
32,0.9046781919986376,0.9498650028534846,238.0141,-57.1147,-179.0730,1.8263,-1.1482626943,-0.4943296832,36.9040,214.5112,-13.4012,-17.4747,268.8899,-13.4012
33,0.9040354043889512,0.9506310472966036,237.5042,-56.9136,-178.5399,2.0507,-1.1483498898,-0.4943296832,36.6621,214.2232,-13.3811,-17.5667,268.4520,-13.3811
34,0.9033926167792646,0.9513970917397226,236.9954,-56.7129,-178.0080,2.2745,-1.1484368963,-0.4943296832,36.4211,213.9354,-13.3611,-17.6581,268.0146,-13.3611
35,0.902749829169578,0.9521631361828417,236.4880,-56.5131,-177.4773,2.4976,-1.1485237130,-0.4943296832,36.1810,213.6480,-13.3411,-17.7488,267.5778,-13.3411
36,0.9021070415598916,0.9529291806259608,235.9817,-56.3137,-176.9478,2.7201,-1.1486103390,-0.4943296832,35.9418,213.3609,-13.3211,-17.8388,267.1415,-13.3211
37,0.9014777211688418,0.9537063265874176,235.4676,-56.1140,-176.4164,2.9372,-1.1486949644,-0.4943296832,35.7011,213.0672,-13.3007,-17.9285,266.6968,-13.3007
38,0.900848400777792,0.9544834725488746,234.9547,-55.9149,-175.8863,3.1536,-1.1487794054,-0.4943296832,35.4614,212.7737,-13.2803,-18.0176,266.2526,-13.2803
39,0.9002190803867423,0.9552606185103316,234.4432,-55.7164,-175.3573,3.3695,-1.1488636612,-0.4943296832,35.2225,212.4807,-13.2600,-18.1060,265.8092,-13.2600
40,0.8995897599956925,0.9560377644717885,233.9327,-55.5185,-174.8295,3.5847,-1.1489477308,-0.4943296832,34.9847,212.1877,-13.2397,-18.1937,265.3661,-13.2397
41,0.8989604396046427,0.9568149104332454,233.4237,-55.3214,-174.3031,3.7993,-1.1490316135,-0.4943296832,34.7477,211.8954,-13.2194,-18.2807,264.9238,-13.2194
42,0.8983311192135929,0.9575920563947024,232.9157,-55.1247,-173.7778,4.0132,-1.1491153085,-0.4943296832,34.5117,211.6031,-13.1991,-18.3671,264.4819,-13.1991
43,0.8977017988225431,0.9583692023561592,232.4089,-54.9286,-173.2538,4.2266,-1.1491988150,-0.4943296832,34.2766,211.3110,-13.1788,-18.4528,264.0405,-13.1788
44,0.8970724784314933,0.9591463483176162,231.9034,-54.7332,-172.7309,4.4393,-1.1492821320,-0.4943296832,34.0425,211.0193,-13.1585,-18.5378,263.5997,-13.1585
45,0.8964568169561676,0.9599343590712228,231.3904,-54.5374,-172.2064,4.6466,-1.1493634566,-0.4943296832,33.8070,210.7213,-13.1379,-18.6225,263.1508,-13.1379
46,0.895841155480842,0.9607223698248296,230.8787,-54.3423,-171.6832,4.8533,-1.1494445983,-0.4943296832,33.5724,210.4236,-13.1172,-18.7065,262.7025,-13.1172
47,0.8952254940055163,0.9615103805784364,230.3682,-54.1478,-171.1611,5.0593,-1.1495255564,-0.4943296832,33.3388,210.1261,-13.0966,-18.7899,262.2548,-13.0966
48,0.8946098325301907,0.962298391332043,229.8590,-53.9539,-170.6404,5.2648,-1.1496063301,-0.4943296832,33.1060,209.8290,-13.0761,-18.8726,261.8076,-13.0761
49,0.893994171054865,0.9630864020856496,229.3509,-53.7605,-170.1208,5.4696,-1.1496869185,-0.4943296832,32.8743,209.5321,-13.0555,-18.9546,261.3610,-13.0555
50,0.8933785095795393,0.9638744128392563,228.8442,-53.5678,-169.6025,5.6738,-1.1497673210,-0.4943296832,32.6435,209.2357,-13.0350,-19.0360,260.9151,-13.0350
51,0.8927766945563873,0.9646730483493036,228.3303,-53.3749,-169.0828,5.8726,-1.1498457345,-0.4943296832,32.4113,208.9331,-13.0141,-19.1169,260.4613,-13.0141
52,0.8921748795332353,0.965471683859351,227.8176,-53.1825,-168.5642,6.0709,-1.1499239689,-0.4943296832,32.1802,208.6306,-12.9932,-19.1972,260.0080,-12.9932
53,0.8915730645100832,0.9662703193693984,227.3064,-52.9909,-168.0470,6.2685,-1.1500020231,-0.4943296832,31.9499,208.3288,-12.9723,-19.2769,259.5556,-12.9723
54,0.8909712494869312,0.9670689548794456,226.7962,-52.7998,-167.5310,6.4655,-1.1500798967,-0.4943296832,31.7207,208.0271,-12.9515,-19.3558,259.1035,-12.9515
55,0.8903694344637791,0.967867590389493,226.2874,-52.6093,-167.0162,6.6619,-1.1501575886,-0.4943296832,31.4924,207.7257,-12.9307,-19.4341,258.6522,-12.9307
56,0.8897676194406271,0.9686662258995404,225.7798,-52.4194,-166.5027,6.8577,-1.1502350983,-0.4943296832,31.2649,207.4247,-12.9099,-19.5118,258.2015,-12.9099
57,0.8891658044174751,0.9694648614095877,225.2734,-52.2300,-165.9905,7.0528,-1.1503124250,-0.4943296832,31.0385,207.1239,-12.8891,-19.5888,257.7512,-12.8891
58,0.888563989394323,0.970263496919635,224.7681,-52.0413,-165.4795,7.2473,-1.1503895678,-0.4943296832,30.8130,206.8234,-12.8683,-19.6652,257.3016,-12.8683
59,0.8879762041420305,0.97107251391401,224.2562,-51.8524,-164.9673,7.4365,-1.1504647341,-0.4943296832,30.5864,206.5170,-12.8472,-19.7411,256.8445,-12.8472
60,0.887388418889738,0.9718815309083848,223.7455,-51.6641,-164.4563,7.6251,-1.1505397235,-0.4943296832,30.3607,206.2109,-12.8261,-19.8164,256.3880,-12.8261
61,0.8868006336374454,0.97269054790276,223.2361,-51.4764,-163.9466,7.8131,-1.1506145355,-0.4943296832,30.1359,205.9052,-12.8050,-19.8910,255.9321,-12.8050
62,0.8862128483851529,0.9734995648971349,222.7280,-51.2893,-163.4382,8.0005,-1.1506891692,-0.4943296832,29.9121,205.5998,-12.7840,-19.9649,255.4769,-12.7840
63,0.8856250631328604,0.9743085818915098,222.2211,-51.1028,-162.9310,8.1873,-1.1507636239,-0.4943296832,29.6892,205.2948,-12.7629,-20.0383,255.0223,-12.7629
64,0.8850372778805679,0.9751175988858848,221.7155,-50.9168,-162.4251,8.3735,-1.1508378990,-0.4943296832,29.4673,204.9901,-12.7419,-20.1109,254.5683,-12.7419
65,0.8844637014442168,0.9759367509301736,221.2034,-50.7308,-161.9182,8.5543,-1.1509102046,-0.4943296832,29.2443,204.6795,-12.7205,-20.1831,254.1070,-12.7205
66,0.8838901250078658,0.9767559029744628,220.6925,-50.5454,-161.4125,8.7346,-1.1509823377,-0.4943296832,29.0223,204.3694,-12.6992,-20.2546,253.6463,-12.6992
67,0.8833165485715148,0.9775750550187516,220.1830,-50.3605,-160.9081,8.9143,-1.1510542977,-0.4943296832,28.8013,204.0595,-12.6779,-20.3255,253.1863,-12.6779
68,0.8827429721351637,0.9783942070630406,219.6747,-50.1763,-160.4050,9.0934,-1.1511260838,-0.4943296832,28.5812,203.7501,-12.6566,-20.3957,252.7270,-12.6566
69,0.8821693956988127,0.9792133591073297,219.1676,-49.9926,-159.9032,9.2718,-1.1511976954,-0.4943296832,28.3620,203.4409,-12.6353,-20.4653,252.2683,-12.6353
70,0.8815958192624617,0.9800325111516184,218.6619,-49.8095,-159.4027,9.4497,-1.1512691317,-0.4943296832,28.1438,203.1322,-12.6140,-20.5343,251.8102,-12.6140
71,0.8810222428261106,0.9808516631959074,218.1574,-49.6270,-158.9034,9.6270,-1.1513403921,-0.4943296832,27.9265,202.8237,-12.5928,-20.6026,251.3528,-12.5928
72,0.8804486663897596,0.9816708152401964,217.6541,-49.4450,-158.4054,9.8037,-1.1514114759,-0.4943296832,27.7101,202.5156,-12.5716,-20.6703,250.8960,-12.5716
73,0.8798894734862889,0.9824998528127514,217.1447,-49.2631,-157.9065,9.9751,-1.1514806064,-0.4943296832,27.4928,202.2019,-12.5500,-20.7375,250.4322,-12.5500
74,0.8793302805828181,0.9833288903853064,216.6366,-49.0817,-157.4090,10.1460,-1.1515495677,-0.4943296832,27.2765,201.8886,-12.5285,-20.8040,249.9691,-12.5285
75,0.8787710876793474,0.9841579279578616,216.1298,-48.9009,-156.9127,10.3162,-1.1516183592,-0.4943296832,27.0612,201.5756,-12.5070,-20.8698,249.5067,-12.5070
76,0.8782118947758767,0.9849869655304164,215.6242,-48.7206,-156.4177,10.4859,-1.1516869802,-0.4943296832,26.8467,201.2630,-12.4855,-20.9351,249.0449,-12.4855
77,0.877652701872406,0.9858160031029716,215.1200,-48.5410,-155.9240,10.6550,-1.1517554301,-0.4943296832,26.6332,200.9508,-12.4641,-20.9997,248.5838,-12.4641
78,0.8770935089689352,0.9866450406755266,214.6169,-48.3619,-155.4316,10.8235,-1.1518237082,-0.4943296832,26.4206,200.6389,-12.4426,-21.0638,248.1234,-12.4426
79,0.8765343160654645,0.9874740782480816,214.1152,-48.1834,-154.9405,10.9914,-1.1518918138,-0.4943296832,26.2090,200.3274,-12.4212,-21.1272,247.6636,-12.4212
80,0.8759896770304495,0.988312748816027,213.6076,-48.0049,-154.4487,11.1541,-1.1519579805,-0.4943296832,25.9966,200.0105,-12.3995,-21.1900,247.1971,-12.3995
81,0.8754450379954345,0.9891514193839724,213.1013,-47.8269,-153.9582,11.3162,-1.1520239823,-0.4943296832,25.7851,199.6939,-12.3778,-21.2521,246.7312,-12.3778
82,0.8749003989604195,0.9899900899519178,212.5963,-47.6496,-153.4690,11.4777,-1.1520898187,-0.4943296832,25.5746,199.3778,-12.3561,-21.3137,246.2661,-12.3561
83,0.8743557599254045,0.9908287605198632,212.0926,-47.4728,-152.9811,11.6387,-1.1521554890,-0.4943296832,25.3650,199.0620,-12.3344,-21.3747,245.8016,-12.3344
84,0.8738111208903895,0.9916674310878086,211.5901,-47.2966,-152.4945,11.7990,-1.1522209926,-0.4943296832,25.1563,198.7466,-12.3128,-21.4350,245.3379,-12.3128
85,0.8732664818553745,0.992506101655754,211.0889,-47.1209,-152.0091,11.9589,-1.1522863289,-0.4943296832,24.9486,198.4315,-12.2911,-21.4947,244.8748,-12.2911
86,0.8727218428203595,0.9933447722236994,210.5891,-46.9459,-151.5251,12.1181,-1.1523514973,-0.4943296832,24.7417,198.1169,-12.2695,-21.5539,244.4125,-12.2695
87,0.8721772037853445,0.9941834427916448,210.0904,-46.7714,-151.0423,12.2768,-1.1524164971,-0.4943296832,24.5358,197.8026,-12.2479,-21.6124,243.9508,-12.2479
88,0.8716472845211113,0.9950314908878012,209.5863,-46.5969,-150.5591,12.4302,-1.1524795779,-0.4943296832,24.3292,197.4831,-12.2260,-21.6703,243.4826,-12.2260
89,0.8711173652568781,0.9958795389839578,209.0834,-46.4230,-150.0772,12.5832,-1.1525424979,-0.4943296832,24.1236,197.1640,-12.2042,-21.7276,243.0152,-12.2042
90,0.8705874459926449,0.9967275870801142,208.5818,-46.2497,-149.5966,12.7355,-1.1526052566,-0.4943296832,23.9189,196.8453,-12.1823,-21.7843,242.5484,-12.1823
91,0.8700575267284117,0.9975756351762708,208.0815,-46.0769,-149.1173,12.8873,-1.1526678534,-0.4943296832,23.7151,196.5269,-12.1605,-21.8404,242.0824,-12.1605
92,0.8695276074641786,0.9984236832724273,207.5825,-45.9047,-148.6392,13.0386,-1.1527302877,-0.4943296832,23.5122,196.2090,-12.1387,-21.8959,241.6171,-12.1387
93,0.8689976881999454,0.9992717313685836,207.0848,-45.7331,-148.1625,13.1893,-1.1527925589,-0.4943296832,23.3103,195.8915,-12.1169,-21.9508,241.1526,-12.1169
94,0.8684677689357122,1.00011977946474,206.5884,-45.5620,-147.6870,13.3394,-1.1528546665,-0.4943296832,23.1092,195.5743,-12.0952,-22.0051,240.6887,-12.0952
95,0.8679527308608022,1.000976946765442,206.0867,-45.3910,-147.2113,13.4843,-1.1529148726,-0.4943296832,22.9077,195.2521,-12.0731,-22.0588,240.2186,-12.0731
96,0.8674376927858921,1.0018341140661442,205.5863,-45.2206,-146.7369,13.6288,-1.1529749230,-0.4943296832,22.7070,194.9304,-12.0511,-22.1118,239.7492,-12.0511
97,0.8669226547109821,1.0026912813668465,205.0872,-45.0507,-146.2638,13.7727,-1.1530348172,-0.4943296832,22.5073,194.6090,-12.0291,-22.1643,239.2806,-12.0291
98,0.866407616636072,1.0035484486675483,204.5894,-44.8814,-145.7919,13.9160,-1.1530945546,-0.4943296832,22.3085,194.2880,-12.0071,-22.2162,238.8127,-12.0071
99,0.865892578561162,1.0044056159682504,204.0929,-44.7127,-145.3214,14.0588,-1.1531541347,-0.4943296832,22.1106,193.9675,-11.9852,-22.2675,238.3455,-11.9852
100,0.8653775404862519,1.0052627832689525,203.5977,-44.5445,-144.8521,14.2011,-1.1532135569,-0.4943296832,21.9135,193.6473,-11.9632,-22.3182,237.8791,-11.9632
101,0.8648625024113419,1.0061199505696543,203.1037,-44.3768,-144.3841,14.3428,-1.1532728206,-0.4943296832,21.7174,193.3276,-11.9413,-22.3684,237.4134,-11.9413
102,0.8643625024113419,1.006985975973439,202.6048,-44.2093,-143.9161,14.4794,-1.1533302019,-0.4943296832,21.5209,193.0030,-11.9191,-22.4178,236.9418,-11.9191
103,0.863862502411342,1.0078520013772234,202.1072,-44.0424,-143.4493,14.6155,-1.1533874329,-0.4943296832,21.3253,192.6788,-11.8969,-22.4667,236.4709,-11.8969
104,0.863362502411342,1.008718026781008,201.6109,-43.8760,-142.9839,14.7511,-1.1534445130,-0.4943296832,21.1306,192.3551,-11.8748,-22.5150,236.0007,-11.8748
105,0.8628625024113421,1.0095840521847923,201.1159,-43.7101,-142.5197,14.8861,-1.1535014418,-0.4943296832,20.9368,192.0318,-11.8527,-22.5627,235.5313,-11.8527
106,0.8623625024113422,1.0104500775885767,200.6222,-43.5448,-142.0568,15.0206,-1.1535582187,-0.4943296832,20.7439,191.7089,-11.8306,-22.6099,235.0627,-11.8306
107,0.8618625024113422,1.0113161029923612,200.1298,-43.3800,-141.5952,15.1546,-1.1536148432,-0.4943296832,20.5519,191.3864,-11.8085,-22.6566,234.5948,-11.8085
108,0.8613625024113423,1.0121821283961456,199.6387,-43.2158,-141.1349,15.2880,-1.1536713148,-0.4943296832,20.3608,191.0644,-11.7864,-22.7026,234.1277,-11.7864
109,0.8608625024113423,1.01304815379993,199.1489,-43.0521,-140.6758,15.4209,-1.1537276330,-0.4943296832,20.1705,190.7428,-11.7644,-22.7482,233.6614,-11.7644
110,0.8603625024113424,1.0139141792037143,198.6603,-42.8890,-140.2181,15.5533,-1.1537837972,-0.4943296832,19.9811,190.4216,-11.7424,-22.7931,233.1958,-11.7424
111,0.859877692791096,1.014788798910854,198.1671,-42.7261,-139.7604,15.6806,-1.1538381077,-0.4943296832,19.7915,190.0957,-11.7201,-22.8373,232.7245,-11.7201
112,0.8593928831708497,1.0156634186179934,197.6752,-42.5637,-139.3040,15.8075,-1.1538922725,-0.4943296832,19.6027,189.7703,-11.6978,-22.8810,232.2540,-11.6978
113,0.8589080735506034,1.0165380383251328,197.1845,-42.4018,-138.8490,15.9338,-1.1539462911,-0.4943296832,19.4149,189.4453,-11.6756,-22.9241,231.7843,-11.6756
114,0.8584232639303571,1.0174126580322722,196.6952,-42.2405,-138.3951,16.0596,-1.1540001631,-0.4943296832,19.2279,189.1207,-11.6534,-22.9667,231.3153,-11.6534
115,0.8579384543101107,1.0182872777394116,196.2072,-42.0797,-137.9426,16.1849,-1.1540538880,-0.4943296832,19.0418,188.7966,-11.6312,-23.0087,230.8471,-11.6312
116,0.8574536446898644,1.019161897446551,195.7204,-41.9194,-137.4914,16.3097,-1.1541074652,-0.4943296832,18.8565,188.4730,-11.6091,-23.0503,230.3797,-11.6091
117,0.8569688350696181,1.0200365171536905,195.2350,-41.7597,-137.0414,16.4339,-1.1541608944,-0.4943296832,18.6721,188.1498,-11.5869,-23.0912,229.9131,-11.5869
118,0.8564840254493717,1.02091113686083,194.7508,-41.6005,-136.5927,16.5576,-1.1542141751,-0.4943296832,18.4886,187.8270,-11.5648,-23.1317,229.4473,-11.5648
119,0.8560145538865859,1.0217940844536888,194.2622,-41.4415,-136.1443,16.6764,-1.1542656280,-0.4943296832,18.3050,187.4997,-11.5424,-23.1713,228.9760,-11.5424
120,0.8555450823238,1.0226770320465477,193.7750,-41.2831,-135.6971,16.7947,-1.1543169408,-0.4943296832,18.1222,187.1729,-11.5201,-23.2105,228.5055,-11.5201
121,0.8550756107610141,1.0235599796394066,193.2890,-41.1252,-135.2513,16.9125,-1.1543681129,-0.4943296832,17.9402,186.8465,-11.4978,-23.2491,228.0358,-11.4978
122,0.8546061391982283,1.0244429272322657,192.8042,-40.9677,-134.8067,17.0298,-1.1544191439,-0.4943296832,17.7591,186.5206,-11.4755,-23.2872,227.5670,-11.4755
123,0.8541366676354424,1.0253258748251244,192.3209,-40.8109,-134.3634,17.1466,-1.1544700334,-0.4943296832,17.5790,186.1951,-11.4532,-23.3247,227.0988,-11.4532
124,0.8536671960726565,1.0262088224179833,191.8388,-40.6546,-133.9213,17.2629,-1.1545207809,-0.4943296832,17.3996,185.8702,-11.4309,-23.3618,226.6315,-11.4309
125,0.8531977245098706,1.0270917700108422,191.3580,-40.4988,-133.4805,17.3787,-1.1545713860,-0.4943296832,17.2211,185.5457,-11.4087,-23.3983,226.1651,-11.4087
126,0.8527282529470848,1.027974717603701,190.8785,-40.3435,-133.0410,17.4940,-1.1546218482,-0.4943296832,17.0434,185.2216,-11.3865,-23.4344,225.6994,-11.3865
127,0.8522587813842989,1.02885766519656,190.4003,-40.1887,-132.6028,17.6088,-1.1546721671,-0.4943296832,16.8666,184.8980,-11.3643,-23.4699,225.2345,-11.3643
128,0.8518047908845593,1.0297486717207482,189.9179,-40.0342,-132.1649,17.7187,-1.1547206899,-0.4943296832,16.6897,184.5700,-11.3419,-23.5046,224.7644,-11.3419
129,0.8513508003848197,1.0306396782449363,189.4368,-39.8803,-131.7284,17.8282,-1.1547690779,-0.4943296832,16.5137,184.2426,-11.3195,-23.5388,224.2951,-11.3195
130,0.8508968098850801,1.0315306847691248,188.9570,-39.7268,-131.2931,17.9371,-1.1548173307,-0.4943296832,16.3386,183.9156,-11.2971,-23.5725,223.8267,-11.2971
131,0.8504428193853405,1.032421691293313,188.4785,-39.5739,-130.8591,18.0456,-1.1548654477,-0.4943296832,16.1642,183.5891,-11.2748,-23.6057,223.3590,-11.2748
132,0.8499888288856009,1.0333126978175011,188.0013,-39.4214,-130.4263,18.1536,-1.1549134287,-0.4943296832,15.9907,183.2630,-11.2524,-23.6384,222.8922,-11.2524
133,0.8495348383858613,1.0342037043416896,187.5254,-39.2695,-129.9948,18.2611,-1.1549612732,-0.4943296832,15.8181,182.9375,-11.2301,-23.6707,222.4262,-11.2301
134,0.8490808478861217,1.035094710865878,187.0508,-39.1181,-129.5645,18.3682,-1.1550089807,-0.4943296832,15.6463,182.6124,-11.2079,-23.7024,221.9611,-11.2079
135,0.8486268573863821,1.0359857173900662,186.5775,-38.9672,-129.1356,18.4747,-1.1550565510,-0.4943296832,15.4753,182.2878,-11.1856,-23.7336,221.4967,-11.1856
136,0.848188486239593,1.0368845114363654,186.1002,-38.8166,-128.7071,18.5765,-1.1551023539,-0.4943296832,15.3043,181.9590,-11.1631,-23.7641,221.0274,-11.1631
137,0.8477501150928038,1.0377833054826646,185.6243,-38.6666,-128.2799,18.6778,-1.1551480279,-0.4943296832,15.1342,181.6307,-11.1407,-23.7940,220.5589,-11.1407
138,0.8473117439460147,1.0386820995289638,185.1496,-38.5170,-127.8540,18.7786,-1.1551935728,-0.4943296832,14.9649,181.3029,-11.1182,-23.8235,220.0913,-11.1182
139,0.8468733727992256,1.039580893575263,184.6762,-38.3679,-127.4294,18.8790,-1.1552389881,-0.4943296832,14.7965,180.9756,-11.0958,-23.8524,219.6245,-11.0958
140,0.8464350016524365,1.0404796876215625,184.2041,-38.2193,-127.0059,18.9789,-1.1552842735,-0.4943296832,14.6288,180.6488,-11.0735,-23.8810,219.1585,-11.0735
141,0.8459966305056473,1.0413784816678615,183.7334,-38.0713,-126.5838,19.0783,-1.1553294285,-0.4943296832,14.4620,180.3224,-11.0511,-23.9090,218.6934,-11.0511
142,0.8455582593588582,1.0422772757141607,183.2637,-37.9236,-126.1629,19.1773,-1.1553744529,-0.4943296832,14.2959,179.9966,-11.0288,-23.9366,218.2291,-11.0288
143,0.8451198882120691,1.04317606976046,182.7955,-37.7765,-125.7433,19.2757,-1.1554193462,-0.4943296832,14.1308,179.6712,-11.0065,-23.9637,217.7657,-11.0065
144,0.8446815170652799,1.0440748638067592,182.3286,-37.6299,-125.3249,19.3738,-1.1554641080,-0.4943296832,13.9664,179.3464,-10.9842,-23.9903,217.3031,-10.9842
145,0.8442588988035392,1.0449811715937958,181.8580,-37.4837,-124.9071,19.4671,-1.1555071364,-0.4943296832,13.8021,179.0176,-10.9617,-24.0161,216.8358,-10.9617
146,0.8438362805417985,1.0458874793808324,181.3887,-37.3380,-124.4906,19.5600,-1.1555500420,-0.4943296832,13.6387,178.6892,-10.9392,-24.0414,216.3693,-10.9392
147,0.8434136622800578,1.046793787167869,180.9207,-37.1928,-124.0754,19.6525,-1.1555928243,-0.4943296832,13.4760,178.3614,-10.9168,-24.0663,215.9037,-10.9168
148,0.842991044018317,1.0477000949549056,180.4541,-37.0483,-123.6613,19.7445,-1.1556354831,-0.4943296832,13.3142,178.0342,-10.8944,-24.0906,215.4391,-10.8944
149,0.8425684257565763,1.0486064027419422,179.9886,-36.9040,-123.2486,19.8360,-1.1556780179,-0.4943296832,13.1532,177.7074,-10.8720,-24.1146,214.9752,-10.8720
150,0.8421458074948356,1.0495127105289788,179.5244,-36.7602,-122.8371,19.9271,-1.1557204285,-0.4943296832,12.9930,177.3811,-10.8496,-24.1381,214.5122,-10.8496
151,0.8417231892330949,1.0504190183160154,179.0614,-36.6168,-122.4268,20.0178,-1.1557627144,-0.4943296832,12.8335,177.0552,-10.8273,-24.1612,214.0499,-10.8273
