,BL1,BL2,r1-r2,NO1,NO2,NO3
0,0.7552087201092559,2.4959842047537606,-1.7407754846445047,1.1120883,0.5048095,0.0361991
1,0.7551912677028186,2.494984357058604,-1.7397930893557856,1.1121028,0.5048240,0.0361978
2,0.7552087201092559,2.493984509363448,-1.7387757892541922,1.1120827,0.5048384,0.0361992
3,0.7552087201092559,2.492984509363448,-1.7377757892541923,1.1120798,0.5048529,0.0361993
4,0.7552261725156931,2.4919846616682912,-1.736758489152598,1.1120596,0.5048675,0.0362007
5,0.7552261725156931,2.490984661668292,-1.7357584891525986,1.1120568,0.5048820,0.0362007
6,0.7552261725156931,2.4899846616682915,-1.7347584891525982,1.1120539,0.5048967,0.0362008
7,0.7552087201092559,2.488984813973135,-1.733776093863879,1.1120683,0.5049113,0.0361995
8,0.7552087201092559,2.487984813973135,-1.7327760938638792,1.1120654,0.5049260,0.0361995
9,0.7552087201092559,2.486984813973135,-1.7317760938638793,1.1120625,0.5049407,0.0361996
10,0.7552087201092559,2.485984813973136,-1.7307760938638803,1.1120596,0.5049555,0.0361996
11,0.7552087201092559,2.4849848139731354,-1.7297760938638795,1.1120567,0.5049703,0.0361997
12,0.7552261725156931,2.483984966277979,-1.7287587937622857,1.1120364,0.5049851,0.0362011
13,0.7552261725156931,2.482984966277979,-1.7277587937622858,1.1120335,0.5050000,0.0362012
14,0.7552261725156931,2.481984966277979,-1.726758793762286,1.1120305,0.5050149,0.0362012
15,0.7552261725156931,2.48098496627798,-1.725758793762287,1.1120275,0.5050297,0.0362045
16,0.7552261725156931,2.47998496627798,-1.7247587937622866,1.1120245,0.5050447,0.0362046
17,0.7552261725156931,2.4789849662779795,-1.7237587937622862,1.1120215,0.5050597,0.0362046
18,0.7552261725156931,2.47798496627798,-1.7227587937622868,1.1120185,0.5050748,0.0362047
19,0.7552261725156931,2.47698496627798,-1.721758793762287,1.1120155,0.5050899,0.0362047
20,0.7552261725156931,2.47598496627798,-1.7207587937622866,1.1120125,0.5051050,0.0362048
21,0.7552261725156931,2.47498496627798,-1.7197587937622867,1.1120095,0.5051202,0.0362048
22,0.7552261725156931,2.47398496627798,-1.7187587937622868,1.1120064,0.5051354,0.0362049
23,0.7552261725156931,2.47298496627798,-1.717758793762287,1.1120034,0.5051506,0.0362050
24,0.7552261725156931,2.4719849662779803,-1.716758793762287,1.1120003,0.5051659,0.0362050
25,0.7552261725156931,2.4709849662779804,-1.7157587937622871,1.1119973,0.5051812,0.0362051
26,0.7552261725156931,2.4699849662779805,-1.7147587937622872,1.1119942,0.5051966,0.0362051
27,0.7552261725156931,2.4689849662779806,-1.7137587937622873,1.1119911,0.5052120,0.0362052
28,0.7552436249221304,2.467985118582824,-1.7127414936606937,1.1119707,0.5052274,0.0362066
29,0.7552436249221304,2.466985118582824,-1.7117414936606938,1.1119676,0.5052428,0.0362067
30,0.7552436249221304,2.4659851185828243,-1.710741493660694,1.1119645,0.5052583,0.0362067
31,0.7552436249221304,2.4649851185828244,-1.709741493660694,1.1119614,0.5052739,0.0362068
32,0.7552436249221304,2.4639851185828245,-1.7087414936606942,1.1119583,0.5052895,0.0362068
33,0.7552436249221304,2.4629851185828247,-1.7077414936606943,1.1119552,0.5053051,0.0362069
34,0.7552436249221304,2.4619851185828248,-1.7067414936606944,1.1119520,0.5053208,0.0362069
35,0.7552436249221304,2.460985118582825,-1.7057414936606945,1.1119489,0.5053364,0.0362070
36,0.7552436249221304,2.459985118582825,-1.7047414936606946,1.1119457,0.5053522,0.0362070
37,0.7552436249221304,2.458985118582825,-1.7037414936606947,1.1119425,0.5053680,0.0362071
38,0.7552436249221304,2.457985118582825,-1.7027414936606948,1.1119393,0.5053838,0.0362072
39,0.7552436249221304,2.4569851185828253,-1.701741493660695,1.1119361,0.5053996,0.0362072
40,0.7552436249221304,2.4559851185828254,-1.700741493660695,1.1119329,0.5054155,0.0362073
41,0.7552436249221304,2.454985118582825,-1.6997414936606947,1.1119297,0.5054314,0.0362073
42,0.7552436249221304,2.4539851185828256,-1.6987414936606953,1.1119265,0.5054474,0.0362074
43,0.7552436249221304,2.4529851185828258,-1.6977414936606954,1.1119232,0.5054634,0.0362074
44,0.7552436249221304,2.451985118582826,-1.6967414936606955,1.1119200,0.5054795,0.0362075
45,0.7552436249221304,2.450985118582826,-1.6957414936606956,1.1119167,0.5054955,0.0362076
46,0.7552436249221304,2.449985118582826,-1.6947414936606957,1.1119135,0.5055117,0.0362076
47,0.7552436249221304,2.448985118582826,-1.6937414936606958,1.1119102,0.5055278,0.0362077
48,0.7552436249221304,2.4479851185828263,-1.692741493660696,1.1119069,0.5055440,0.0362077
49,0.7552436249221304,2.4469851185828264,-1.691741493660696,1.1119036,0.5055603,0.0362078
50,0.7552436249221304,2.4459851185828265,-1.6907414936606961,1.1119003,0.5055766,0.0362078
51,0.7552436249221304,2.444985118582826,-1.6897414936606958,1.1118970,0.5055929,0.0362079
52,0.7552436249221304,2.4439851185828267,-1.6887414936606964,1.1118937,0.5056092,0.0362079
53,0.7552436249221304,2.442985118582827,-1.6877414936606965,1.1118903,0.5056256,0.0362080
54,0.7552436249221304,2.441985118582827,-1.6867414936606966,1.1118870,0.5056421,0.0362081
55,0.7552436249221304,2.440985118582827,-1.6857414936606967,1.1118836,0.5056586,0.0362081
56,0.7552436249221304,2.439985118582827,-1.6847414936606968,1.1118803,0.5056751,0.0362082
57,0.7552436249221304,2.438985118582828,-1.6837414936606978,1.1118769,0.5056917,0.0362082
58,0.7552436249221304,2.4379851185828274,-1.682741493660697,1.1118735,0.5057083,0.0362083
59,0.7552610773285676,2.436985270887671,-1.6817241935591034,1.1118528,0.5057249,0.0362097
60,0.7552610773285676,2.435985270887671,-1.6807241935591035,1.1118494,0.5057416,0.0362098
61,0.7552610773285676,2.434985270887671,-1.6797241935591036,1.1118460,0.5057583,0.0362098
62,0.7552610773285676,2.4339852708876712,-1.6787241935591037,1.1118426,0.5057750,0.0362099
63,0.7552610773285676,2.432985270887672,-1.6777241935591043,1.1118391,0.5057918,0.0362099
64,0.7552610773285676,2.4319852708876715,-1.676724193559104,1.1118357,0.5058087,0.0362100
65,0.7552610773285676,2.430985270887672,-1.6757241935591045,1.1118322,0.5058256,0.0362100
66,0.7552610773285676,2.429985270887672,-1.6747241935591046,1.1118288,0.5058425,0.0362101
67,0.7552610773285676,2.428985270887672,-1.6737241935591043,1.1118253,0.5058595,0.0362101
68,0.7552610773285676,2.427985270887672,-1.6727241935591044,1.1118218,0.5058765,0.0362102
69,0.7552610773285676,2.426985270887672,-1.6717241935591045,1.1118183,0.5058935,0.0362103
70,0.7552610773285676,2.425985270887672,-1.6707241935591046,1.1118148,0.5059106,0.0362103
71,0.7552610773285676,2.424985270887672,-1.6697241935591043,1.1118112,0.5059278,0.0362104
72,0.7552610773285676,2.4239852708876723,-1.6687241935591048,1.1118077,0.5059449,0.0362104
73,0.7552610773285676,2.4229852708876725,-1.667724193559105,1.1118041,0.5059621,0.0362105
74,0.7552610773285676,2.421985270887673,-1.6667241935591055,1.1118006,0.5059794,0.0362105
75,0.7552610773285676,2.4209852708876727,-1.6657241935591052,1.1117970,0.5059967,0.0362106
76,0.7552610773285676,2.419985270887673,-1.6647241935591053,1.1117934,0.5060140,0.0362107
77,0.7552610773285676,2.418985270887673,-1.6637241935591054,1.1117899,0.5060314,0.0362107
78,0.7552610773285676,2.417985270887673,-1.6627241935591055,1.1117863,0.5060489,0.0362108
79,0.7552610773285676,2.416985270887673,-1.6617241935591056,1.1117826,0.5060663,0.0362108
80,0.7552610773285676,2.415985270887673,-1.6607241935591053,1.1117790,0.5060838,0.0362109
81,0.7552610773285676,2.4149852708876733,-1.6597241935591058,1.1117754,0.5061014,0.0362109
82,0.7552610773285676,2.413985270887673,-1.6587241935591055,1.1117717,0.5061190,0.0362110
83,0.7552610773285676,2.4129852708876736,-1.657724193559106,1.1117681,0.5061366,0.0362110
84,0.7552785297350049,2.411985423192517,-1.6567068934575122,1.1117471,0.5061543,0.0362125
85,0.7552785297350049,2.410985423192517,-1.6557068934575123,1.1117434,0.5061720,0.0362125
86,0.7552785297350049,2.4099854231925173,-1.6547068934575124,1.1117397,0.5061898,0.0362126
87,0.7552785297350049,2.4089854231925174,-1.6537068934575125,1.1117360,0.5062076,0.0362126
88,0.7552785297350049,2.407985423192517,-1.6527068934575122,1.1117323,0.5062254,0.0362127
89,0.7552785297350049,2.4069854231925176,-1.6517068934575128,1.1117286,0.5062433,0.0362127
90,0.7552785297350049,2.4059854231925177,-1.6507068934575129,1.1117249,0.5062613,0.0362128
91,0.7552785297350049,2.404985423192518,-1.649706893457513,1.1117211,0.5062792,0.0362128
92,0.7552785297350049,2.403985423192518,-1.648706893457513,1.1117173,0.5062973,0.0362129
93,0.7552785297350049,2.402985423192518,-1.6477068934575132,1.1117136,0.5063153,0.0362130
94,0.7552785297350049,2.401985423192518,-1.6467068934575133,1.1117098,0.5063334,0.0362130
95,0.7552785297350049,2.4009854231925183,-1.6457068934575134,1.1117060,0.5063516,0.0362131
96,0.7552785297350049,2.3999854231925184,-1.6447068934575135,1.1117022,0.5063698,0.0362131
97,0.7552785297350049,2.3989854231925185,-1.6437068934575136,1.1116984,0.5063880,0.0362132
98,0.7552785297350049,2.3979854231925186,-1.6427068934575138,1.1116945,0.5064063,0.0362132
99,0.7552785297350049,2.3969854231925187,-1.6417068934575139,1.1116907,0.5064247,0.0362133
100,0.7552785297350049,2.395985423192519,-1.640706893457514,1.1116868,0.5064430,0.0362134
101,0.7552785297350049,2.394985423192519,-1.639706893457514,1.1116830,0.5064614,0.0362134
102,0.7552785297350049,2.393985423192519,-1.6387068934575142,1.1116791,0.5064799,0.0362135
103,0.7552785297350049,2.392985423192519,-1.6377068934575143,1.1116752,0.5064984,0.0362135
104,0.7552785297350049,2.39198542319252,-1.6367068934575153,1.1116713,0.5065170,0.0362136
