,x,y,total energy,kinetic energy
0,0.6,3.0,-1.63700737,1.79309104037019
1,0.6,2.995,-1.63700333,1.79311638434808
2,0.6,2.99,-1.63699923,1.79314188086468
3,0.6,2.9850000000000003,-1.63699508,1.79316726930069
4,0.6,2.9800000000000004,-1.63699088,1.7931915277112198
5,0.6,2.9750000000000005,-1.63698663,1.79322073994159
6,0.6,2.9700000000000006,-1.63698232,1.79324710477728
7,0.6,2.9650000000000007,-1.63697796,1.7932741733429602
8,0.6,2.960000000000001,-1.63697354,1.79330103546236
9,0.6,2.955000000000001,-1.63696907,1.7933284922565602
10,0.6,2.950000000000001,-1.63696454,1.79335620861174
11,0.6,2.945000000000001,-1.63695995,1.79338387356486
12,0.6,2.9400000000000013,-1.63695530,1.79341199525221
13,0.6,2.9350000000000014,-1.63695060,1.79344033801025
14,0.6,2.930000000000001,-1.63694583,1.79346786361659
15,0.6,2.9250000000000016,-1.63694101,1.7934975202635002
16,0.6,2.9200000000000017,-1.63693612,1.79352502938784
17,0.6,2.915000000000002,-1.63693117,1.79355592155815
18,0.6,2.910000000000002,-1.63692616,1.7935854527007598
19,0.6,2.905000000000002,-1.63692108,1.7936151840814398
20,0.6,2.900000000000002,-1.63691593,1.7936450852256098
21,0.6,2.8950000000000022,-1.63691072,1.7936752509152298
22,0.6,2.8900000000000023,-1.63690543,1.79370515205141
23,0.6,2.8850000000000025,-1.63690008,1.79373584158891
24,0.6,2.8800000000000026,-1.63689465,1.79376646721613
25,0.6,2.8750000000000027,-1.63688915,1.7937969850311
26,0.6,2.8700000000000028,-1.63688357,1.79382859818537
27,0.6,2.865000000000003,-1.63687792,1.7938603761614602
28,0.6,2.860000000000003,-1.63687219,1.79389227431431
29,0.6,2.855000000000003,-1.63686639,1.79392439712985
30,0.6,2.850000000000003,-1.63686051,1.7939567419556202
31,0.6,2.8450000000000037,-1.63685454,1.7939893088389702
32,0.6,2.8400000000000034,-1.63684850,1.79402276024385
33,0.6,2.8350000000000035,-1.63684238,1.7940551097284798
34,0.6,2.830000000000004,-1.63683618,1.7940883593007602
35,0.6,2.825000000000004,-1.63682989,1.79412184324905
36,0.6,2.820000000000004,-1.63682352,1.79415555817592
37,0.6,2.815000000000004,-1.63681707,1.7941895078630101
38,0.6,2.810000000000004,-1.63681054,1.79422370778706
39,0.6,2.805000000000004,-1.63680392,1.7942581627424201
40,0.6,2.8000000000000043,-1.63679721,1.79429285594551
41,0.6,2.7950000000000044,-1.63679042,1.7943277538936302
42,0.6,2.7900000000000045,-1.63678354,1.79436286878358
43,0.6,2.7850000000000046,-1.63677658,1.7943982952816802
44,0.6,2.7800000000000047,-1.63676954,1.79443405404405
45,0.6,2.775000000000005,-1.63676240,1.7944700853555502
46,0.6,2.770000000000005,-1.63675519,1.7945063242390602
47,0.6,2.765000000000005,-1.63674788,1.7945427594084902
48,0.6,2.760000000000005,-1.63674050,1.79457940124337
49,0.6,2.755000000000005,-1.63673303,1.79461633951456
50,0.6,2.7500000000000053,-1.63672547,1.79465349223503
51,0.6,2.745000000000005,-1.63671782,1.7946908013714298
52,0.6,2.740000000000005,-1.63671009,1.79473008705576
53,0.6,2.7350000000000056,-1.63670228,1.79476826549057
54,0.6,2.7300000000000058,-1.63669437,1.79480504413572
55,0.6,2.725000000000006,-1.63668637,1.7948439251317199
56,0.6,2.720000000000006,-1.63667829,1.7948830602607502
57,0.6,2.715000000000006,-1.63667011,1.79492238462864
58,0.6,2.710000000000006,-1.63666184,1.79496200825881
59,0.6,2.7050000000000063,-1.63665348,1.79500193804023
60,0.6,2.7000000000000064,-1.63664502,1.79504206090553
61,0.6,2.6950000000000065,-1.63663647,1.7950824971366999
62,0.6,2.6900000000000066,-1.63662782,1.7951232085908502
63,0.6,2.6850000000000067,-1.63661908,1.79516419921619
64,0.6,2.680000000000007,-1.63661024,1.7952054653566698
65,0.6,2.675000000000007,-1.63660130,1.79524699851185
66,0.6,2.670000000000007,-1.63659226,1.7952887923554002
67,0.6,2.665000000000007,-1.63658311,1.79533084404679
68,0.6,2.6600000000000072,-1.63657387,1.7953731434057
69,0.6,2.655000000000008,-1.63656451,1.7954156987808298
70,0.6,2.6500000000000075,-1.63655506,1.7954585141856199
71,0.6,2.645000000000008,-1.63654549,1.7955016028437898
72,0.6,2.640000000000008,-1.63653581,1.7955469931514902
73,0.6,2.635000000000008,-1.63652603,1.79559069076146
74,0.6,2.630000000000008,-1.63651613,1.79563465019581
75,0.6,2.625000000000008,-1.63650611,1.79567889776423
76,0.6,2.620000000000008,-1.63649598,1.79572341485604
77,0.6,2.615000000000008,-1.63648574,1.79576821323044
78,0.6,2.6100000000000083,-1.63647537,1.79581329662938
79,0.6,2.6050000000000084,-1.63646489,1.79585865926371
80,0.6,2.6000000000000085,-1.63645429,1.7959043053561499
81,0.6,2.5950000000000086,-1.63644357,1.795950238119
82,0.6,2.5900000000000087,-1.63643273,1.79599644695086
83,0.6,2.585000000000009,-1.63642177,1.7960429270496898
84,0.6,2.580000000000009,-1.63641068,1.7960896741821601
85,0.6,2.575000000000009,-1.63639947,1.7961366946558401
86,0.6,2.570000000000009,-1.63638813,1.79618399537123
87,0.6,2.5650000000000093,-1.63637667,1.7962315836174803
88,0.6,2.5600000000000094,-1.63636509,1.7962794649285398
89,0.6,2.555000000000009,-1.63635338,1.79632764095343
90,0.6,2.5500000000000096,-1.63634154,1.79637611776656
91,0.6,2.5450000000000097,-1.63632958,1.79642489879436
92,0.6,2.54000000000001,-1.63631749,1.79647398946627
93,0.6,2.53500000000001,-1.63630528,1.79652338636072
94,0.6,2.53000000000001,-1.63629294,1.79657310256809
95,0.6,2.52500000000001,-1.63628047,1.7966231373969
96,0.6,2.5200000000000102,-1.63626787,1.7966734946290501
97,0.6,2.5150000000000103,-1.63625514,1.79672417612791
98,0.6,2.5100000000000104,-1.63624228,1.7967751850928098
99,0.6,2.5050000000000106,-1.63622929,1.79682652273894
100,0.6,2.5000000000000107,-1.63621617,1.7968781931663598
101,0.6,2.4950000000000108,-1.63620291,1.79693019538714
102,0.6,2.490000000000011,-1.63618952,1.79698253027884
103,0.6,2.485000000000011,-1.63617599,1.79703520243345
104,0.6,2.480000000000011,-1.63616232,1.79708820855313
105,0.6,2.475000000000011,-1.63614851,1.7971415522275098
106,0.6,2.4700000000000117,-1.63613456,1.7971952367623798
107,0.6,2.4650000000000114,-1.63612046,1.7972492628610899
108,0.6,2.4600000000000115,-1.63610622,1.79730363162275
109,0.6,2.455000000000012,-1.63609183,1.7973583443437402
110,0.6,2.450000000000012,-1.63607730,1.7974134000184998
111,0.6,2.445000000000012,-1.63606262,1.7974688026175802
112,0.6,2.440000000000012,-1.63604778,1.797524552297
113,0.6,2.435000000000012,-1.63603279,1.7975806495209201
114,0.6,2.430000000000012,-1.63601764,1.7976370973994902
