,x,y,total energy,kinetic energy
0,2.9987407426090287,0.740748752283685,-1.65547963,1.6318096478053
1,2.9977413517820097,0.7407836517803875,-1.65547883,1.63178051306527
2,2.996741504086853,0.7408011041868248,-1.65547804,1.63176829117927
3,2.9957416563916968,0.740818556593262,-1.65547724,1.63175607841456
4,2.994741656391697,0.740818556593262,-1.65547643,1.63176077749452
5,2.9937418086965404,0.7408011041868248,-1.65547563,1.6317823891607
6,2.992741961001384,0.7407836517803875,-1.65547483,1.6318040085083
7,2.9917421133062274,0.7407661993739503,-1.65547402,1.6318256344908701
8,2.990742265611071,0.740748746967513,-1.65547321,1.63184726851222
9,2.989742265611071,0.740748746967513,-1.65547240,1.6318520020158398
10,2.9887424179159146,0.7407661993739503,-1.65547159,1.6318398329461201
11,2.9877424179159147,0.7407661993739503,-1.65547077,1.63184458669477
12,2.9867424179159148,0.7407661993739503,-1.65546995,1.6318493514565602
13,2.985742417915915,0.7407661993739503,-1.65546913,1.63185412855741
14,2.984742417915915,0.7407661993739503,-1.65546831,1.6318589202516
15,2.983742417915915,0.7407661993739503,-1.65546749,1.63186372476678
16,2.982742417915915,0.7407661993739503,-1.65546666,1.63186854460981
17,2.981742417915916,0.7407661993739503,-1.65546584,1.63187338002355
18,2.9807424179159154,0.7407661993739503,-1.65546501,1.63187823029202
19,2.9797424179159155,0.7407661993739503,-1.65546417,1.63188180255888
20,2.978742417915916,0.7407661993739503,-1.65546334,1.63188796750434
21,2.977742417915916,0.7407661993739503,-1.65546250,1.6318928416039102
22,2.976742417915916,0.7407661993739503,-1.65546167,1.6318976895319
23,2.975742417915916,0.7407661993739503,-1.65546083,1.63190253212278
24,2.974742417915916,0.7407661993739503,-1.65545999,1.63190513357194
25,2.973742417915916,0.7407661993739503,-1.65545914,1.63190973626597
26,2.9727424179159163,0.7407661993739503,-1.65545829,1.63191444337085
27,2.9717424179159164,0.7407661993739503,-1.65545745,1.63191930976163
28,2.9707424179159165,0.7407661993739503,-1.65545660,1.63192430319007
29,2.9697424179159166,0.7407661993739503,-1.65545574,1.63192937724842
30,2.9687424179159168,0.7407661993739503,-1.65545489,1.6319344976105699
31,2.967742417915917,0.7407661993739503,-1.65545403,1.63193960698327
32,2.966742417915917,0.7407661993739503,-1.65545317,1.63194465022494
33,2.965742417915917,0.7407661993739503,-1.65545231,1.63194961623569
34,2.964742417915917,0.7407661993739503,-1.65545145,1.63195471124997
35,2.9637425702207607,0.7407836517803875,-1.65545059,1.6319424473995399
36,2.962742570220761,0.7407836517803875,-1.65544972,1.63194725040624
37,2.961742570220761,0.7407836517803875,-1.65544885,1.63195205318042
38,2.960742570220761,0.7407836517803875,-1.65544798,1.63195690397123
39,2.959742570220761,0.7407836517803875,-1.65544711,1.6319618281285302
40,2.9587425702207613,0.7407836517803875,-1.65544623,1.63196893539499
41,2.9577425702207614,0.7407836517803875,-1.65544535,1.6319738827211299
42,2.956742570220761,0.7407836517803875,-1.65544447,1.63197885455171
43,2.9557425702207616,0.7407836517803875,-1.65544359,1.63198383002754
44,2.9547425702207617,0.7407836517803875,-1.65544271,1.63198878405831
45,2.953742570220762,0.7407836517803875,-1.65544182,1.63199373017262
46,2.952742570220762,0.7407836517803875,-1.65544093,1.63199867649717
47,2.951742570220762,0.7407836517803875,-1.65544004,1.6320036334295
48,2.950742570220762,0.7407836517803875,-1.65543915,1.63200860565554
49,2.9497425702207622,0.7407836517803875,-1.65543826,1.63201359207374
50,2.9487425702207624,0.7407836517803875,-1.65543736,1.6320185935861602
51,2.9477425702207625,0.7407836517803875,-1.65543646,1.63202360695527
52,2.9467425702207626,0.7407836517803875,-1.65543556,1.6320286331183098
53,2.9457425702207627,0.7407836517803875,-1.65543465,1.6320336704670502
54,2.944742570220763,0.7407836517803875,-1.65543375,1.6320387185374399
55,2.943742570220763,0.7407836517803875,-1.65543284,1.63204377706225
56,2.942742570220763,0.7407836517803875,-1.65543193,1.6320488461432
57,2.941742570220763,0.7407836517803875,-1.65543102,1.63205392427798
58,2.9407425702207632,0.7407836517803875,-1.65543011,1.6320590122359901
59,2.939742570220764,0.7407836517803875,-1.65542919,1.63206411023704
60,2.9387425702207635,0.7407836517803875,-1.65542827,1.63206921732075
61,2.937742570220764,0.7407836517803875,-1.65542735,1.63207433401561
62,2.936742570220764,0.7407836517803875,-1.65542643,1.63207945939973
63,2.935742570220764,0.7407836517803875,-1.65542550,1.6320845935001898
64,2.934742570220764,0.7407836517803875,-1.65542457,1.6320897364168498
65,2.933742570220764,0.7407836517803875,-1.65542364,1.63209488784599
66,2.932742570220764,0.7407836517803875,-1.65542271,1.6321000480721901
67,2.931742570220764,0.7407836517803875,-1.65542178,1.6321052168572598
68,2.9307425702207643,0.7407836517803875,-1.65542084,1.6321103941810402
69,2.9297425702207645,0.7407836517803875,-1.65541990,1.6321155798148501
70,2.928742570220765,0.7407836517803875,-1.65541896,1.63212077265365
71,2.9277425702207647,0.7407836517803875,-1.65541802,1.6321259733421
72,2.926742570220765,0.7407836517803875,-1.65541708,1.63213118204775
73,2.925742570220765,0.7407836517803875,-1.65541613,1.63213639782134
74,2.924742570220765,0.7407836517803875,-1.65541518,1.63214162179057
75,2.923742570220765,0.7407836517803875,-1.65541423,1.63214685393091
76,2.922742570220765,0.7407836517803875,-1.65541327,1.6321520932538598
77,2.9217425702207653,0.7407836517803875,-1.65541232,1.63215733869359
78,2.920742570220765,0.7407836517803875,-1.65541136,1.63216259566005
79,2.9197425702207656,0.7407836517803875,-1.65541039,1.63216785827939
80,2.9187425702207657,0.7407836517803875,-1.65540943,1.63217312923331
81,2.9177425702207658,0.7407836517803875,-1.65540847,1.63217840785777
82,2.916742570220766,0.7407836517803875,-1.65540750,1.6321836942863999
83,2.915742570220766,0.7407836517803875,-1.65540653,1.63218898995816
84,2.914742570220766,0.7407836517803875,-1.65540555,1.63219429277262
85,2.913742570220766,0.7407836517803875,-1.65540458,1.6321996026759003
86,2.9127425702207663,0.7407836517803875,-1.65540360,1.63220492237072
87,2.9117425702207664,0.7407836517803875,-1.65540262,1.6322102483349799
88,2.9107425702207665,0.7407836517803875,-1.65540164,1.63221558419774
89,2.9097425702207667,0.7407836517803875,-1.65540065,1.6322209232020901
90,2.9087425702207668,0.7407836517803875,-1.65539967,1.63222627095429
91,2.907742570220767,0.7407836517803875,-1.65539868,1.63223162780857
92,2.906742570220767,0.7407836517803875,-1.65539768,1.63223699155937
